session_id,gesture_id,result,bias_gx,bias_gz,proc_gx,proc_gy,proc_gz,proc_btn,acc_v,acc_h,peak_v_pos,peak_v_neg,peak_h_pos,peak_h_neg,mag_v,mag_h,flags,flags_text,n_frames,duration_ms,latency_ms,t_press_ms,t_release_ms,t_pic_ms,peak_raw_gx,peak_raw_gz,mean_gx,mean_gz,std_gx,std_gz,max_abs_gx,max_abs_gz,min_gx,max_gx,min_gz,max_gz,mean_gy,std_gy,cal_bias_computed_gx,cal_bias_computed_gz,frame_00_gx,frame_00_gy,frame_00_gz,frame_00_t_ms,frame_01_gx,frame_01_gy,frame_01_gz,frame_01_t_ms,frame_02_gx,frame_02_gy,frame_02_gz,frame_02_t_ms,frame_03_gx,frame_03_gy,frame_03_gz,frame_03_t_ms,frame_04_gx,frame_04_gy,frame_04_gz,frame_04_t_ms,frame_05_gx,frame_05_gy,frame_05_gz,frame_05_t_ms,frame_06_gx,frame_06_gy,frame_06_gz,frame_06_t_ms,frame_07_gx,frame_07_gy,frame_07_gz,frame_07_t_ms,frame_08_gx,frame_08_gy,frame_08_gz,frame_08_t_ms,frame_09_gx,frame_09_gy,frame_09_gz,frame_09_t_ms,frame_10_gx,frame_10_gy,frame_10_gz,frame_10_t_ms,frame_11_gx,frame_11_gy,frame_11_gz,frame_11_t_ms,frame_12_gx,frame_12_gy,frame_12_gz,frame_12_t_ms,frame_13_gx,frame_13_gy,frame_13_gz,frame_13_t_ms,frame_14_gx,frame_14_gy,frame_14_gz,frame_14_t_ms,frame_15_gx,frame_15_gy,frame_15_gz,frame_15_t_ms,frame_16_gx,frame_16_gy,frame_16_gz,frame_16_t_ms,frame_17_gx,frame_17_gy,frame_17_gz,frame_17_t_ms,frame_18_gx,frame_18_gy,frame_18_gz,frame_18_t_ms,frame_19_gx,frame_19_gy,frame_19_gz,frame_19_t_ms,frame_20_gx,frame_20_gy,frame_20_gz,frame_20_t_ms,frame_21_gx,frame_21_gy,frame_21_gz,frame_21_t_ms,frame_22_gx,frame_22_gy,frame_22_gz,frame_22_t_ms,frame_23_gx,frame_23_gy,frame_23_gz,frame_23_t_ms,frame_24_gx,frame_24_gy,frame_24_gz,frame_24_t_ms,frame_25_gx,frame_25_gy,frame_25_gz,frame_25_t_ms,frame_26_gx,frame_26_gy,frame_26_gz,frame_26_t_ms,frame_27_gx,frame_27_gy,frame_27_gz,frame_27_t_ms,frame_28_gx,frame_28_gy,frame_28_gz,frame_28_t_ms,frame_29_gx,frame_29_gy,frame_29_gz,frame_29_t_ms
20260320_121139,11,D,-9,63,-19221,-3833,896,0,-165305,11279,0,31404,2817,0,31404,2817,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,127.3,17.83,10446.72,10574.02,10591.85,31413,3178,-26950.38,1966.38,4848.79,910.59,31413,3178,-31413,-19221,896,3178,-6733.25,3737.52,,,-20252,-1226,2405,0.0,-25300,-3572,1285,16.72,-29067,-6893,941,33.6,-30540,-6820,1514,63.42,-31413,-8496,2632,80.4,-31023,-11184,3178,97.71,-28787,-11842,2880,109.65,-19221,-3833,896,127.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,12,D,-9,63,-19205,-2968,-1986,0,-119686,-6,0,30050,565,1252,30050,1252,0x2A,V>TH|VDOM|CHOSE_V,9,139.08,17.94,10910.69,11049.76,11067.7,30059,1986,-21626.33,-283.22,7644.08,925.11,30059,1986,-30059,-7743,-1986,628,-4664.89,3562.29,,,-7743,-9,-815,0.0,-13609,37,628,0.08,-18196,-2388,527,28.36,-22494,-5022,596,44.07,-27661,-7629,402,60.47,-30059,-9442,-128,94.72,-29762,-8738,-584,110.97,-25908,-5825,-1189,127.15,-19205,-2968,-1986,139.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,13,D,-9,63,-10882,-239,-457,0,-177036,15913,0,32759,3213,0,32759,3213,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,158.63,0.12,11404.63,11563.26,11563.38,32768,3459,-23925.89,2150.67,8784.01,1296.05,32768,3459,-32768,-10845,-457,3459,-4127.33,6432.63,,,-10845,6140,1050,0.0,-20694,4631,3122,17.9,-27352,-2874,3459,45.68,-32271,-9547,2374,45.79,-32768,-11496,2544,79.86,-32767,-9697,3276,97.26,-27608,-7601,2785,108.79,-20146,-6463,1203,125.75,-10882,-239,-457,158.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,14,D,-9,63,-3495,5021,228,0,-183729,8494,0,32759,3323,21,32759,3323,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,128.67,15.66,11897.78,12026.45,12042.12,32768,3386,-23410.88,1145.38,10635.18,1228.59,32768,3386,-32768,-3495,42,3386,-4867.62,6420.13,,,-23127,1572,2721,0.0,-28470,-5042,3386,0.29,-32721,-12916,750,34.17,-32768,-12419,42,50.78,-32078,-8999,387,62.44,-22096,-4489,642,78.83,-12532,-1669,1007,111.08,-3495,5021,228,128.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,15,D,-9,63,-9727,2233,-2471,0,-139366,-15372,0,30496,0,4871,30496,4871,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,128.72,17.26,12346.12,12474.84,12492.1,30505,4808,-23551.5,-2772.75,7160.33,1911.25,30505,4808,-30505,-9727,-4808,-107,-3609.12,3663.39,,,-17668,432,-134,0.0,-23460,-894,-107,17.35,-28814,-6496,-2086,34.59,-30505,-7390,-3484,45.38,-30306,-5918,-4572,78.3,-26326,-6312,-4808,95.65,-21606,-4528,-4520,111.29,-9727,2233,-2471,128.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,16,D,-9,63,-18355,3068,-843,0,-116497,-8076,0,21631,557,2978,21631,2978,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,156.52,32.48,12793.74,12950.26,12982.74,21640,2915,-18082.22,-777.89,4487.95,1526.2,21640,2915,-21640,-8413,-2915,868,-7263.33,6593.7,,,-8413,-6023,868,0.0,-13155,-7129,558,28.49,-19421,-16600,672,44.65,-21454,-15876,620,62.65,-21612,-9607,-1185,78.66,-21640,-8268,-2673,112.75,-20299,-6050,-2915,128.58,-18391,1115,-2103,145.73,-18355,3068,-843,156.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,17,D,-9,63,-15818,-994,-3507,0,-64038,-61396,11026,16959,0,9622,16959,9622,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,186.17,17.17,13322.91,13509.08,13526.24,16968,9559,-8156.5,-7055.5,9623.86,2632.79,16968,9559,-16968,11017,-9559,-2851,-877.9,2270.75,,,11017,3373,-2851,0.0,3993,2207,-4824,27.92,-1637,-3319,-6156,43.58,-7730,-3749,-8691,60.06,-10453,-1951,-9559,76.04,-12567,-68,-9472,92.52,-15092,-382,-9457,124.38,-16310,-2309,-9419,141.76,-16968,-1587,-6619,173.95,-15818,-994,-3507,186.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,18,D,-9,63,-24488,1527,-5403,0,-86904,-46034,0,24630,0,10993,24630,10993,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,142.87,0.13,13878.72,14021.6,14021.73,25027,10930,-19614.25,-8257.62,5728.02,1948.76,25027,10930,-25027,-10115,-10930,-5403,-4783.62,3471.62,,,-10115,-9371,-10930,0.0,-13363,-8389,-10166,16.56,-16154,-6014,-9737,49.16,-20450,-4032,-8612,64.8,-22678,-4917,-7819,81.59,-24639,-5163,-7067,93.51,-25027,-1910,-6327,127.16,-24488,1527,-5403,142.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,19,D,-9,63,-21999,2451,-4464,0,-108160,-35822,8830,22623,0,7513,22623,7513,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,177.66,11.92,14374.7,14552.36,14564.28,22632,7450,-12844.9,-3911.3,11510.92,2745.43,22632,7450,-22632,8821,-7450,669,3135.6,2581.92,,,8821,8001,-1809,0.0,1782,7022,669,0.31,-3686,4591,-371,29.1,-9507,2377,-2681,45.06,-17447,2170,-6247,76.99,-20532,2000,-7450,109.36,-21392,416,-6620,126.59,-21857,587,-5276,126.82,-22632,1741,-4864,159.85,-21999,2451,-4464,177.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,20,D,-9,63,-18749,-312,-1683,0,-95672,-21954,0,23518,0,7092,23518,7092,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,110.84,35.48,14948.9,15059.74,15095.22,23714,7029,-19740.0,-4277.14,4585.32,2115.87,23714,7029,-23714,-10829,-7029,-1683,-491.43,2661.43,,,-10829,4293,-2542,0.0,-17502,1438,-4765,17.94,-22648,-3325,-7029,29.9,-23714,-2988,-6618,47.86,-23527,-1703,-4886,64.87,-21211,-843,-2417,93.03,-18749,-312,-1683,110.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,21,D,-9,63,-27495,6666,3550,0,-104801,26412,4944,27604,7731,0,27604,7731,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,128.39,29.75,15413.34,15541.74,15571.49,27613,7794,-16544.88,3800.38,11884.95,3035.63,27613,7794,-27613,4935,384,7794,1533.75,3572.41,,,4935,4467,7692,0.0,-3530,-910,7794,17.14,-13445,-3830,5827,28.95,-18011,-1922,3398,45.23,-22138,1186,1291,61.8,-25062,2500,467,96.0,-27613,4113,384,128.18,-27495,6666,3550,128.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,22,D,-9,63,-12515,8987,-726,0,-29125,-18675,12302,17223,347,5840,17223,5840,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,161.59,11.81,15907.83,16069.43,16081.23,17280,5777,-7793.0,-3173.89,10474.2,2106.55,17280,5777,-17280,12293,-5777,410,-325.22,6865.25,,,12293,-86,410,0.0,5791,4797,-3347,11.94,-3942,1685,-3789,47.84,-11163,-5408,-3954,59.76,-17232,-11310,-5777,77.75,-17280,-7813,-5588,95.68,-14910,-1002,-4099,107.68,-11179,7223,-1695,161.47,-12515,8987,-726,161.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,23,D,-9,63,-18846,4263,-2144,0,-38956,-9264,1641,15701,282,2594,15701,2594,0x2E,V>TH|H>TH|VDOM|CHOSE_V,7,131.72,12.26,16398.65,16530.37,16542.62,18846,2531,-8265.14,-1575.71,7616.12,1129.39,18846,2531,-18846,1632,-2531,345,941.43,1863.43,,,1632,-1844,345,0.0,-605,14,-340,34.71,-5070,1096,-1665,52.26,-7382,250,-2314,69.35,-11875,1052,-2381,80.2,-15710,1759,-2531,98.19,-18846,4263,-2144,131.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,24,D,-9,63,-6420,2313,-4784,0,-93875,2280,0,16251,3479,3359,16251,3479,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,172.08,17.95,16914.45,17086.54,17104.49,16260,4784,-11441.0,-607.1,3935.56,3071.14,16260,4784,-16260,-4876,-4784,3542,1288.2,4640.08,,,-4876,-4832,3542,0.0,-10189,2647,2208,11.5,-15150,8529,2401,28.4,-16260,8127,2636,62.46,-15617,3828,-1943,79.9,-14043,32,-4071,107.33,-12402,-2373,-3296,124.31,-10601,-3424,-872,142.19,-8852,-1965,-1892,160.12,-6420,2313,-4784,172.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,25,D,-9,63,-18225,3755,-1288,0,-173045,16805,0,32759,3448,0,32759,3448,0x2E,V>TH|H>TH|VDOM|CHOSE_V,8,141.73,17.54,17441.11,17582.84,17600.38,32768,3511,-23916.62,1994.75,8759.12,1488.89,32768,3511,-32768,-10673,-1288,3511,1459.75,2591.57,,,-10673,3689,2022,0.0,-15268,4455,2509,27.59,-20616,2396,2395,43.45,-30478,1318,3017,60.09,-32768,228,3511,77.14,-32768,-2475,2586,111.92,-30537,-1688,1206,123.7,-18225,3755,-1288,141.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,26,D,-9,63,-15896,6408,1687,0,-173753,40019,0,32288,7542,1072,32288,7542,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,142.41,35.34,17918.93,18061.35,18096.69,32297,7605,-21080.11,4690.0,9082.83,3002.95,32297,7605,-32297,-5917,-1009,7605,2051.22,2759.3,,,-5917,594,-1009,0.0,-11221,2767,2109,0.18,-18758,1731,6924,28.83,-23926,-768,7605,45.47,-30388,-2073,6328,62.72,-32297,873,6188,79.89,-30024,3691,6922,113.32,-21294,5238,5456,124.64,-15896,6408,1687,142.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,27,D,-9,63,19045,6502,-3039,0,-174613,8519,13364,32757,4521,4080,32757,4521,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,178.3,29.87,18396.46,18574.76,18604.63,32766,4584,-15564.9,604.7,20379.03,3337.88,32766,4584,-32766,19045,-4017,4584,-1431.4,6688.18,,,-27728,4960,4555,0.0,-31282,2981,4584,35.15,-32534,-5695,4233,46.78,-32766,-9943,3080,79.97,-30665,-10319,613,95.88,-24402,-7863,-261,113.36,-13459,-3238,-826,130.48,4787,2974,-2875,160.32,13355,5327,-4017,178.23,19045,6502,-3039,178.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,28,D,-9,63,21682,9488,-2453,0,-159488,14543,16648,32759,5839,4010,32759,5839,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,172.07,17.24,19356.13,19528.19,19545.43,32768,5902,-16785.5,1077.3,21932.53,4481.89,32768,5902,-32768,21682,-3947,5902,-3590.1,10766.91,,,-31080,8221,5090,0.0,-32768,61,5902,16.9,-32768,-13156,5855,32.8,-32768,-17134,5330,44.76,-32768,-17093,4145,78.76,-29977,-11910,-1821,110.23,-15440,-5412,-3758,110.51,1393,2069,-3947,128.41,16639,8965,-3570,160.76,21682,9488,-2453,172.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,29,D,-9,63,-24791,-13330,4406,0,-155735,39703,0,32639,8136,0,32639,8136,0x2E,V>TH|H>TH|VDOM|CHOSE_V,9,157.76,21.04,19753.52,19911.28,19932.31,32648,8199,-23682.33,5714.78,11240.0,1538.25,32648,8199,-32648,-2756,2944,8199,-1378.89,7905.3,,,-2756,4888,2944,0.0,-9300,9040,5321,16.91,-17923,9792,6644,32.82,-28564,-1328,5886,66.41,-32355,-7755,4898,83.44,-32648,-7533,6252,95.33,-32252,-2862,8199,111.13,-32552,-3322,6883,145.88,-24791,-13330,4406,157.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260320_121139,30,D,-9,63,-3128,-362,-1069,0,-202358,62806,0,26593,9487,0,26593,9487,0x2E,V>TH|H>TH|VDOM|CHOSE_V,10,173.59,16.88,20776.46,20950.05,20966.92,26602,9550,-20556.7,6230.4,7101.4,2843.63,26602,9550,-26602,-3128,-1069,9550,389.9,2239.72,,,-18470,1955,6310,0.0,-23220,3222,9550,16.42,-24249,1251,8566,33.72,-23423,-1301,6968,50.38,-24476,1961,6143,79.69,-26602,2677,5399,97.62,-26010,130,6304,127.49,-21314,-1774,7495,144.79,-14675,-3860,6638,161.99,-3128,-362,-1069,173.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
