session_id,gesture_id,result,bias_gx,bias_gz,proc_gx,proc_gy,proc_gz,proc_btn,acc_v,acc_h,peak_v_pos,peak_v_neg,peak_h_pos,peak_h_neg,mag_v,mag_h,flags,flags_text,n_frames,duration_ms,latency_ms,t_press_ms,t_release_ms,t_pic_ms,peak_raw_gx,peak_raw_gz,mean_gx,mean_gz,std_gx,std_gz,max_abs_gx,max_abs_gz,min_gx,max_gx,min_gz,max_gz,mean_gy,std_gy,cal_bias_computed_gx,cal_bias_computed_gz,frame_00_gx,frame_00_gy,frame_00_gz,frame_00_t_ms,frame_01_gx,frame_01_gy,frame_01_gz,frame_01_t_ms,frame_02_gx,frame_02_gy,frame_02_gz,frame_02_t_ms,frame_03_gx,frame_03_gy,frame_03_gz,frame_03_t_ms,frame_04_gx,frame_04_gy,frame_04_gz,frame_04_t_ms,frame_05_gx,frame_05_gy,frame_05_gz,frame_05_t_ms,frame_06_gx,frame_06_gy,frame_06_gz,frame_06_t_ms,frame_07_gx,frame_07_gy,frame_07_gz,frame_07_t_ms,frame_08_gx,frame_08_gy,frame_08_gz,frame_08_t_ms,frame_09_gx,frame_09_gy,frame_09_gz,frame_09_t_ms,frame_10_gx,frame_10_gy,frame_10_gz,frame_10_t_ms,frame_11_gx,frame_11_gy,frame_11_gz,frame_11_t_ms,frame_12_gx,frame_12_gy,frame_12_gz,frame_12_t_ms,frame_13_gx,frame_13_gy,frame_13_gz,frame_13_t_ms,frame_14_gx,frame_14_gy,frame_14_gz,frame_14_t_ms,frame_15_gx,frame_15_gy,frame_15_gz,frame_15_t_ms,frame_16_gx,frame_16_gy,frame_16_gz,frame_16_t_ms,frame_17_gx,frame_17_gy,frame_17_gz,frame_17_t_ms,frame_18_gx,frame_18_gy,frame_18_gz,frame_18_t_ms,frame_19_gx,frame_19_gy,frame_19_gz,frame_19_t_ms,frame_20_gx,frame_20_gy,frame_20_gz,frame_20_t_ms,frame_21_gx,frame_21_gy,frame_21_gz,frame_21_t_ms,frame_22_gx,frame_22_gy,frame_22_gz,frame_22_t_ms,frame_23_gx,frame_23_gy,frame_23_gz,frame_23_t_ms,frame_24_gx,frame_24_gy,frame_24_gz,frame_24_t_ms,frame_25_gx,frame_25_gy,frame_25_gz,frame_25_t_ms,frame_26_gx,frame_26_gy,frame_26_gz,frame_26_t_ms,frame_27_gx,frame_27_gy,frame_27_gz,frame_27_t_ms,frame_28_gx,frame_28_gy,frame_28_gz,frame_28_t_ms,frame_29_gx,frame_29_gy,frame_29_gz,frame_29_t_ms
20260320_123537,11,?,-9,63,-191,66,41,0,-206,-103,53,144,12,21,144,21,0x28,VDOM|CHOSE_V,27,513.08,30.01,12312.34,12825.42,12855.43,191,75,-19.33,58.74,57.71,8.6,191,75,-191,128,41,75,39.7,15.52,,,128,52,69,0.0,44,24,60,17.85,34,15,75,35.79,27,29,54,47.16,28,54,49,82.4,-3,68,58,94.32,-43,52,54,111.17,-54,23,65,128.29,-39,25,64,144.99,-17,34,66,194.6,-4,45,54,194.78,-12,44,54,206.74,-8,32,60,222.99,-20,33,50,239.97,-18,37,54,274.13,-6,35,71,286.03,2,38,52,303.35,-13,30,70,338.79,-16,40,59,350.4,-21,27,57,366.78,-21,40,69,400.96,-18,38,69,418.52,-31,19,57,430.45,-27,32,57,465.14,-70,69,56,465.29,-153,71,42,495.15,-191,66,41,513.08,,,,,,,,,,,,
20260320_123537,12,?,-9,63,-193,34,53,0,-294,-96,14,192,16,23,192,23,0x28,VDOM|CHOSE_V,26,510.43,17.92,13225.14,13735.56,13753.49,208,79,-28.54,58.42,55.07,8.43,208,79,-208,5,40,79,37.04,17.3,,,5,30,79,0.0,-13,34,60,28.87,5,33,40,45.63,-7,24,56,62.21,-15,21,56,97.38,-12,13,62,109.38,-17,31,51,127.34,-2,20,55,165.24,-1,44,55,177.27,-3,39,53,189.19,0,29,62,207.11,-12,28,53,224.27,-25,34,65,235.58,-18,42,59,252.36,-23,22,65,285.72,-15,32,66,303.11,-15,38,63,319.46,-17,43,50,348.38,-24,30,54,365.95,2,30,60,383.9,3,35,65,395.89,-10,51,68,413.99,-26,38,71,443.78,-93,66,56,476.64,-201,55,43,476.74,-208,101,52,510.43,,,,,,,,,,,,,,,,
20260320_123537,13,?,-9,63,-112,117,51,0,-316,-132,48,138,7,15,138,15,0x28,VDOM|CHOSE_V,30,595.05,11.94,14004.44,14599.49,14611.43,147,70,-23.3,57.73,39.4,6.63,147,70,-147,39,48,70,35.57,18.95,,,20,4,68,0.0,39,13,56,17.18,1,32,65,50.85,0,28,62,67.7,6,34,56,79.1,-4,20,68,95.72,-6,36,53,129.86,-8,40,65,145.82,-11,27,55,163.7,-23,36,48,193.46,-21,34,60,193.68,-16,20,51,222.62,-26,37,68,238.86,-21,29,59,275.11,-5,37,52,291.3,4,34,58,303.13,-16,29,60,320.98,-15,35,55,338.91,-7,30,64,350.97,-10,24,57,386.01,-13,20,54,403.88,-5,31,67,415.03,-18,48,53,448.84,-23,39,57,466.88,-31,43,70,477.8,-52,51,50,510.28,-65,59,50,525.93,-147,35,48,543.93,-114,45,52,560.94,-112,117,51,595.05
20260320_123537,14,?,-9,63,112,33,59,0,-36,-138,65,60,12,19,65,19,0x28,VDOM|CHOSE_V,28,545.76,32.66,14881.3,15427.06,15459.72,158,75,-16.43,57.64,35.27,8.4,158,75,-158,56,44,75,35.32,11.26,,,56,12,58,0.0,24,18,75,17.15,1,15,54,53.19,8,27,72,64.51,-4,39,59,81.1,4,31,64,115.61,6,44,52,132.58,-6,38,48,161.04,-3,48,44,178.05,-18,36,63,178.15,-14,41,73,211.14,-12,32,59,228.87,-14,27,62,240.01,-10,32,69,257.17,-4,27,51,289.84,-21,36,57,307.71,-18,37,64,323.54,-20,33,68,355.06,-5,33,50,372.03,-27,26,55,388.84,-23,28,46,400.15,-12,36,49,436.43,-19,37,53,448.14,-26,40,57,466.12,-34,49,57,484.21,-42,53,55,512.96,-69,55,51,528.44,-158,59,49,545.76,,,,,,,,
20260320_123537,15,?,-9,63,-176,51,44,0,-9,-70,37,63,10,15,63,15,0x28,VDOM|CHOSE_V,30,577.79,12.13,15714.49,16292.28,16304.41,176,73,-14.8,60.1,35.71,6.55,176,73,-176,28,44,73,34.07,15.88,,,19,-25,59,0.0,28,5,66,34.93,16,34,63,35.05,13,34,54,46.72,-1,43,73,82.23,-6,46,65,111.84,-11,43,59,111.93,-3,40,63,141.77,-17,31,57,159.73,-4,34,62,176.35,-3,26,63,192.74,-5,20,62,220.8,-6,33,67,238.15,-7,29,52,255.43,-20,36,65,272.77,-2,32,63,289.15,-10,40,63,318.71,-15,36,55,334.72,-19,21,59,368.1,3,20,64,396.38,-3,26,49,396.58,-9,34,59,413.0,-8,36,62,430.89,-13,43,72,448.81,-12,43,57,478.68,-26,50,65,496.68,-28,52,55,508.59,-47,56,58,526.53,-72,53,48,560.79,-176,51,44,577.79
20260320_123537,16,?,-9,63,-227,187,35,0,-86,-34,36,98,17,16,98,17,0x28,VDOM|CHOSE_V,27,527.84,0.12,16578.31,17106.15,17106.27,227,80,-20.96,60.19,47.51,8.83,227,80,-227,27,35,80,39.74,34.64,,,7,-31,62,0.0,27,20,80,11.92,6,12,49,29.82,2,23,59,46.82,-14,23,65,64.1,-22,48,53,91.62,-20,52,67,107.95,-29,48,72,140.86,-21,26,71,157.34,-14,32,62,174.9,-8,38,57,192.3,5,24,68,204.26,-5,37,59,240.42,-7,35,66,252.35,-28,25,67,270.3,-5,34,56,300.18,-11,45,54,316.32,0,47,63,348.45,11,19,60,348.59,-5,39,63,382.54,-8,40,55,411.03,-18,39,65,426.65,-7,35,47,461.7,-24,50,58,461.85,-44,64,56,478.19,-107,62,56,494.6,-227,187,35,527.84,,,,,,,,,,,,
20260320_123537,17,?,-9,63,-156,92,43,0,-50,-170,26,52,7,21,52,21,0x28,VDOM|CHOSE_V,26,509.34,17.91,17327.03,17836.37,17854.28,156,70,-16.58,55.69,32.42,6.64,156,70,-156,17,42,70,40.77,16.61,,,17,26,52,0.0,4,53,63,29.92,17,18,50,47.83,-4,24,58,65.8,-31,49,55,98.19,-3,54,59,109.3,-10,51,54,127.26,-20,39,57,161.21,-18,35,42,161.42,-9,39,53,193.26,0,30,49,209.66,-2,39,58,221.6,-14,34,56,238.65,-14,26,62,274.25,-15,29,50,286.2,-18,39,56,304.22,-16,35,62,333.53,-3,35,56,333.69,-7,26,68,369.34,-7,36,49,386.4,0,32,54,415.81,-13,36,63,433.73,-13,46,70,444.5,-35,58,56,461.52,-61,79,53,479.44,-156,92,43,509.34,,,,,,,,,,,,,,,,
20260320_123537,18,?,-9,63,-128,59,63,0,-18,-121,62,81,5,13,81,13,0x28,VDOM|CHOSE_V,28,525.14,17.77,18127.22,18652.37,18670.14,128,68,-14.29,58.39,32.74,5.52,128,68,-128,53,50,68,36.89,11.74,,,2,2,50,0.0,53,25,58,16.97,28,18,51,27.94,14,35,64,45.05,-8,29,58,62.85,-11,45,61,80.87,-19,40,59,107.98,-18,32,68,125.2,-11,43,55,143.03,-20,32,55,188.85,-6,43,65,188.96,-10,36,68,206.77,-8,39,65,224.69,6,27,52,254.58,-9,36,57,271.9,-5,36,59,299.26,-9,33,59,299.37,-3,39,60,316.66,-13,40,52,350.78,0,39,50,367.4,-9,37,53,394.77,-8,36,66,394.95,-22,28,58,429.95,-18,38,64,446.25,-25,54,59,463.24,-53,54,55,479.89,-90,58,51,508.92,-128,59,63,525.14,,,,,,,,
20260320_123537,19,?,-9,63,-155,44,57,0,62,-47,60,51,12,14,60,14,0x28,VDOM|CHOSE_V,29,576.78,32.88,18905.71,19482.49,19515.37,155,75,-11.9,61.17,34.74,6.71,155,75,-155,51,49,75,37.1,17.94,,,41,-14,69,0.0,51,15,75,35.87,26,31,67,48.15,-1,48,56,65.79,-32,52,65,83.71,-8,41,68,113.64,-17,38,65,131.6,-16,30,54,143.51,-15,33,70,161.5,-7,30,61,191.42,5,31,54,209.29,1,27,66,226.87,0,28,60,244.88,3,27,63,274.42,1,33,68,290.7,3,33,57,308.14,-9,31,52,319.08,-15,25,57,353.23,-5,39,51,370.01,-12,37,68,386.55,-20,24,53,398.52,3,36,58,434.42,-16,40,62,446.37,-13,52,58,464.57,-26,42,57,498.55,-29,74,69,515.44,-23,85,65,526.9,-60,64,49,559.71,-155,44,57,576.78,,,,
20260320_123537,20,?,-9,63,-158,51,55,0,106,-57,66,63,6,13,66,13,0x28,VDOM|CHOSE_V,27,509.58,16.52,19707.16,20216.74,20233.26,158,69,-10.59,60.59,38.59,4.33,158,69,-158,57,50,69,36.07,15.64,,,57,14,60,0.0,18,18,65,16.95,35,30,63,28.98,34,19,67,45.97,20,30,54,62.22,-3,49,65,97.49,-20,30,63,108.71,-27,35,55,126.65,-11,30,50,144.61,-22,47,59,156.56,-15,28,63,191.02,-8,31,61,207.1,9,37,63,239.58,-11,23,57,256.69,-2,31,60,268.67,-5,35,64,286.68,-11,29,69,304.55,-1,33,61,334.52,4,45,59,352.38,0,26,61,382.33,-4,36,59,382.49,-7,30,61,400.21,-24,24,58,430.11,-19,59,60,448.07,-43,75,57,476.17,-72,79,67,492.58,-158,51,55,509.58,,,,,,,,,,,,
20260320_123537,21,?,-9,63,-319,47,30,0,-114,-114,56,151,9,19,151,19,0x28,VDOM|CHOSE_V,33,635.16,18.05,20441.97,21077.13,21095.18,319,72,-21.97,58.48,64.09,8.46,319,72,-319,47,30,72,36.73,19.64,,,47,-19,64,0.0,38,21,72,17.01,24,24,69,46.41,-6,28,61,46.66,0,48,49,79.36,-18,43,64,96.21,-16,36,63,129.28,-16,37,64,140.54,-6,36,61,174.51,-11,33,57,174.64,-10,27,56,192.58,5,25,51,221.09,-10,35,55,238.3,-14,29,54,256.19,-6,51,66,272.31,-2,29,57,301.29,-5,20,64,318.22,-9,35,63,336.25,5,26,67,347.27,1,40,61,383.19,0,48,61,395.12,6,41,69,412.25,-12,44,58,430.09,-15,21,66,459.94,-12,32,55,460.1,-24,20,47,495.16,8,36,50,507.18,-17,31,51,539.64,-17,43,59,556.86,-61,98,58,572.51
20260320_123537,22,?,-9,63,-189,39,48,0,-80,-138,140,178,16,24,178,24,0x28,VDOM|CHOSE_V,35,665.38,20.67,21289.46,21954.84,21975.51,189,79,-16.43,58.63,53.84,8.47,189,79,-189,131,39,79,35.57,15.64,,,131,8,79,0.0,58,37,71,11.72,21,40,62,29.57,10,39,60,59.44,0,6,70,59.67,3,12,63,95.05,-15,31,60,106.6,-20,31,55,138.67,-8,33,60,138.76,-10,34,47,170.72,-17,41,68,188.31,-19,26,54,205.77,-16,32,60,223.61,-22,42,60,250.72,-25,32,53,267.86,-27,23,56,284.79,-41,28,51,301.45,-17,34,57,318.66,-20,28,54,347.51,-1,37,63,363.89,1,33,66,399.13,-3,22,71,399.42,5,51,49,429.23,-3,14,57,446.39,-4,29,51,474.74,0,35,67,490.66,8,30,58,508.6,3,40,60,525.95,-2,34,60,555.86,-11,57,55,573.8
20260320_123537,23,?,-9,63,-218,88,32,0,-64,-77,36,73,11,20,73,20,0x28,VDOM|CHOSE_V,33,623.59,17.22,22229.2,22852.79,22870.0,218,74,-16.55,59.09,40.59,9.4,218,74,-218,27,32,74,35.21,18.08,,,18,4,57,0.0,13,-12,61,0.36,12,25,58,13.04,27,19,67,46.86,8,41,74,64.13,2,38,60,81.98,-2,23,59,111.81,-15,30,54,129.76,-16,46,67,141.87,-1,28,60,174.88,-15,32,61,191.26,-8,20,61,208.21,-7,42,61,225.38,-13,48,63,240.59,-14,30,67,273.06,-7,35,67,284.72,-19,38,74,305.98,-25,25,49,334.05,-10,40,62,349.97,-14,35,67,366.85,-11,44,63,386.8,-20,32,69,416.8,0,30,64,428.81,-13,21,54,464.56,-12,42,48,476.65,1,36,59,494.47,-18,35,43,512.43,-21,45,44,541.56,-28,29,49,541.65,-4,31,55,559.01
20260320_123537,24,?,-9,63,-196,72,55,0,-50,-129,29,63,5,21,63,21,0x28,VDOM|CHOSE_V,30,575.88,0.12,23172.27,23748.15,23748.26,196,68,-15.43,58.4,38.42,6.67,196,68,-196,33,42,68,35.77,13.94,,,33,25,66,0.0,5,18,65,16.96,11,21,61,32.32,20,19,61,49.07,6,29,56,60.07,4,34,53,92.78,-9,30,67,93.12,-12,38,66,128.45,-12,45,66,140.4,-25,35,65,165.87,-10,25,52,190.25,-3,48,63,208.33,-24,46,55,220.17,-1,30,60,238.13,-21,44,59,272.21,-13,31,62,284.26,-21,20,60,301.36,-1,38,49,336.21,-18,26,59,347.72,-7,31,59,380.77,-11,26,55,397.83,-1,37,46,415.04,-11,22,53,432.17,-3,38,50,443.19,-12,38,68,477.27,-17,31,66,477.36,-22,45,60,509.33,-20,56,42,524.94,-72,75,53,542.06,-196,72,55,575.88
20260320_123537,25,?,-9,63,-187,67,51,0,-240,-83,55,102,9,14,102,14,0x28,VDOM|CHOSE_V,28,526.04,17.52,24019.59,24545.63,24563.15,187,72,-24.21,59.32,39.49,5.84,187,72,-187,46,49,72,35.75,17.72,,,-7,-4,64,0.0,46,2,54,0.32,7,20,60,11.78,-15,29,58,45.49,-9,33,67,62.7,-17,48,57,79.51,-9,40,60,108.87,-28,50,72,125.48,-16,35,64,141.74,-17,38,63,157.98,-14,27,60,174.64,-13,42,58,203.01,-11,41,58,220.63,-21,24,59,236.89,-13,31,53,270.08,-14,35,57,286.41,-20,39,66,298.32,-19,24,54,333.84,-22,29,52,351.81,-20,30,60,363.77,-24,30,63,379.77,-27,32,61,395.96,-37,27,72,429.62,-29,37,62,445.58,-22,41,55,463.23,-9,74,52,475.55,-111,80,49,508.74,-187,67,51,526.04,,,,,,,,
20260320_123537,26,?,-9,63,-186,48,47,0,164,-189,244,83,3,22,244,22,0x28,VDOM|CHOSE_V,27,528.56,0.07,24799.19,25327.75,25327.82,235,66,-9.41,54.78,62.37,6.74,235,66,-186,235,41,66,33.3,17.81,,,235,43,66,0.0,2,15,59,17.92,-27,34,61,47.35,-16,36,56,65.24,-22,17,49,83.19,-11,15,58,94.63,8,8,64,127.01,11,27,62,143.77,-10,16,61,160.19,1,32,52,176.95,-13,26,57,194.3,-1,30,47,222.97,-3,13,60,240.1,5,21,60,256.51,-7,35,46,301.52,-19,29,62,301.62,-13,41,49,317.9,-14,30,47,351.95,1,26,62,352.06,8,26,51,386.47,-5,33,59,398.38,-9,44,54,415.4,-18,32,50,433.3,-21,71,47,463.24,-38,82,41,481.08,-92,69,52,510.99,-186,48,47,528.56,,,,,,,,,,,,
